response_id,classification,stage,stage_bin,reasons_for_stage_number,has_reasons,primary_theme,secondary_theme,tertiary_theme,total_methods,field_studies,diary_camera_studies,user_interviews,requirements_and_constraints,competitive_analysis,persona_building,task_analysis,journey_maps,prototype_testing,user_stories,card_sorting,design_review,usability_testing,benchmark_testing,accessibility_evaluation,user_surveys,analytics_review,search_log_analysis,usability_bug_review,faq_review,themes,is_certif_yes,is_certif_no,is_growth_no,is_growth_yes,is_horziin_no,is_horziin_yes,is_resourc_no,is_resourc_yes,is_strateg_no,is_strateg_yes,is_uxgroup_no,is_uxgroup_yes,is_uxperso_no,is_uxperso_yes,is_vertcoo_no,is_vertcoo_yes
R_2DM3fxeghUsFtDt,"Four-year, large",3,3-4,"Well, I think we're a bit at stage 3 and a bit at stage 5.  We have an established team doing UX work, but I use my office supply budget to pay for incentives, etc.  We hired an assessment librarian, who has willingly/enthusiastically gotten involved in the UX work--but this person did not have UX experience coming in to the position.  (I have been lobbying for a UX librarian for years.)  [redacted]",1,vertically_coordinated_no; strategic_no; horizontally_integrated_no,,,13,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,vertically_coordinated_no strategic_no horizontally_integrated_no,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
R_bfTgohOvQkpv4rL,"Four-year, large",7,7-8,"We are somewhere between Stage 6 and 7.  In some divisions within the library, user research and user data are more integrated into service design and support - when creating new services or when evaluating existing services. We have multiple teams in the library to help with service design, conducting and gathering user research, and helping library staff think more about the user in their everyday work. We also have a couple Special Interest Groups (SIGs) dedicated to user research, UX, and assessment. We have a Digital Accessibility Team that shares their expertise on digital accessibility standards and accessible design best practices, provides accessibility audits to library staff building tools or evaluating electronic resources, etc. They essentially strive to improve the virtual experiences for those with disabilities. 



We also have multiple departments within the library with UX expertise. For example, in Library IT, there is a department called [redacted] with several people dedicated to user research, design, content strategy, accessibility, and overall improving the user experience of our web applications across the web presence. They are taking a more holistic approach to a comprehensive virtual space redesign, including the libraryâ€™s website as the core, but extending more broadly to the libraryâ€™s whole suite of web-based applications and products that have a public-facing user interface. They are also refining a digital playbook and building a design system that will have unified set of principles, guidelines, and reusable patterns used in the creation of websites and web applications; this includes content, design, and accessibility guidelines as well as code for all library staff to use. 



There's another department in Operations called [redacted] that focuses on the UX of our physical spaces. They also do a lot of user research and design to help with way-finding, signage, designing spaces based on services and user needs, etc. They work very closely with [redacted]. 



Finally, in addition to all the folks in the library who do assessment/have assessment in their title, we've just hired a new Assessment Specialist in the Deans' Office to help coordinate all the assessment efforts in each of the 8 divisions, and the new Senior UX Specialist in [redacted] will be working closely with this person on UX strategy to help with future directions and library-wide assessment and planning.



If you need more info about any of this, I'm happy to talk with you all more.  ",1,vertically_coordinated_yes; horizontally_integrated_yes,ux_group_yes,,19,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,vertically_coordinated_yes horizontally_integrated_yes ux_group_yes,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
R_9Y34GuQqxO3g4aR,"Four-year, large",5,5-6,,0,,,,17,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
R_3GwAdorhVKhwF1j,"Four-year, large",,,,0,,,,14,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
R_2ctEFEStJMwW3hS,"Four-year, large",5,5-6,"I'd say we are somewhere in between 4 and 5.  There are a few staff that have UX specifically in their job description, but we are a few years in and haven't moved too far beyond usability testing as our primary UX work.  There isn't a formal budget for UX beyond staff time and a few hundred dollars for snacks and giftcard incentives.  Direction and guidance from administration has been very vague and doesn't always fit the definition of what UX work actually is.",1,growth_no; vertically_coordinated_no; resources_yes,,,7,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,growth_no vertically_coordinated_no resources_yes,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
R_2qg6km5iWmnrkcz,"Four-year, large",3,3-4,We are almost to stage 4 - we lack a dedicated budget although I can usually get some funding for specific projects.,1,resources_no; vertically_coordinated_yes;,,,9,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,resources_no vertically_coordinated_yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
R_3fGA04KvRGgups7,"Four-year, large",3,3-4,"Our organization has a great focus on assessment, particularly in instruction, but not as much of a UX-specific focus.",1,vertically_coordinated_no; horizontally_integrated_no;,,,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,vertically_coordinated_no horizontally_integrated_no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
R_3oFvN87fXlqSR30,"Four-year, large",5,5-6,"I've just been hired to fill this role. We have a small committee previously established to look at UX, but until now the library hasn't had someone with certifications and enough experience to guide the group, develop practices to be used for service design, etc.",1,ux_person_yes; ux_group_yes,certification_yes,,15,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,ux_person_yes ux_group_yes certification_yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
R_325XaN19jhE27Uk,"Four-year, large",5,5-6,"I'd say we're between stage 4 and stage 5. We have a dedicated department, but lack support from administration to really do the work we want to do. This includes 2 vacant positions in our department. I'm hopeful that we'll move forward in the next year or 2 to a fully staffed department that will allow us to work more efficiently and become more user-driven.",1,ux_group_yes; vertically_coordinated_no; ,growth_yes,,8,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,ux_group_yes vertically_coordinated_no  growth_yes,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
R_23ZUZQlRxq4v3nY,University outside US,7,7-8,,0,,,,17,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
R_29hrj6OI4CbQVhT,"Four-year, large",4,3-4,"This is hard because I think my organization fluctuates between 4,5, & 6 - we are large and different areas of the library operate in different ways. So, for instance, I work in a small department that offers a very specialized type of service within the library. While we don't have dedicated UX staff, when we are planning and implementing new services, procedures, or workflows, we take on the role of UX staff in that planning and do testing, observation, often interviews with customers and employees, and use that information to refine these services or procedures - so a continual conceptualize, design, deploy, evaluate, refine, etc. type of cycle.",1,horizontally_integrated_no; ux_group_no; ux_person_no,,,16,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,horizontally_integrated_no ux_group_no ux_person_no,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
R_PXPTro1uynZlEB3,"Four-year, large",4,3-4,We have a couple dedicated user experience librarians,1,ux_person_yes,,,12,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,ux_person_yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
R_2ruuFltqkrlB6Q1,"Four-year, large",3,3-4,,0,,,,16,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
R_1HbFUoRyY6gFqf3,"Four-year, large",6,5-6,"I'd say we're somewhere between 5 and 7 - it's not uniform throughout our organization. There are aspects about 5, 6, and 7 that are true in various areas of our organization.",1,horizontally_integrated_no;,,,15,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,horizontally_integrated_no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
R_1Qhkm7LgDDE4vfr,Non-university,3,3-4,"I selected level 3 because there's a difference between what my department - the iSchool - is doing with UX, and what the University of WI as a whole is doing. We're basically skunkworks UX - doing what we can without a budget - while different departments at UW are at other levels on the scale. I think the University as a whole is probably 4",1,resources_no; vertically_coordinated_no;,,,16,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,resources_no vertically_coordinated_no,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
R_vxblrLiR76jexHP,"Four-year, large",5,5-6,,0,,,,13,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,,,,,,,,,,,,,,,,,
R_3rSYNAObZckgG0j,"Four-year, large",2,1-2,"As far as I know, we donâ€™t have any dedicated usability assessment - what little information on usability we have is from developersâ€™ research or gleaned by accident from larger assessment efforts. (For example at my regional campus we have a graduation survey for the whole campus, and Iâ€™ve gotten UX information from comments on it.) Iâ€™ve also employed my own intuition on UX, changing the layout of the library to be more useful to people seeking Library staff, but I was constrained by lack of budget, etc.",1,horizontally_integrated_no; ux_person_no;,,,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,horizontally_integrated_no ux_person_no,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
R_07JeXUlQQmrJ9fj,"Four-year, small",2,1-2,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
R_5cnj1PShsSnBcOd,"Four-year, very small",3,3-4,We are only just beginning to think about usability in terms beyond ourselves. But we have no budget or dedicated team to study usability in any sort of systematic way. Some of us are gathering data very informally - through talking with students in other contexts and the occasional non-rigorously-designed survey.,1,ux_group_no; ux_person_no; horizontally_integrated_no; vertically_coordinated_no,,,7,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,ux_group_no ux_person_no horizontally_integrated_no vertically_coordinated_no,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
