title,description,location
Industrial and Applied Microbiology Abstracts,"Significant findings and practical applications in agricultural, food and beverage, chemical, and pharmaceutical industries are assembled in this abstracting journal.",https://search.proquest.com/microbiologya/advanced?accountid=14585
INSPEC Archive 1898-1968,"INSPEC Archive&amp;nbsp;indexes literature on physics,&amp;nbsp;engineering, communications, and&amp;nbsp;computing&amp;nbsp;for the years 1898-1968.",http://www.engineeringvillage.com/controller/servlet/Controller?CID=quickSearch&amp;database=2
Institute of Physics Electronic Journals,Full-text access to journals published by IOP publishing,https://iopscience.iop.org/journalList
Inter-university Consortium for Political and Social Research (ICPSR),"<p>ICPSR is the world&#39;s largest archive of research and instructional data in the social sciences. Data collections available for secondary analysis include national opinion polls, attitude surveys, census and economic data.<br />
<br />
The University of Miami is one of over 500 member colleges and universities, and UM faculty and students can download data and documentation for their own research and instructional purposes.</p>",https://www.icpsr.umich.edu/icpsrweb/
Music Periodicals Database,"<p>The Music Periodicals Database indexes journal literature in all areas of music. It provides indexing and abstracts for more than 425 international music periodicals, plus full text for around 140 journals. Coverage includes recording and performance reviews of both popular and classical music.</p>",https://search.proquest.com/iimp/advanced
International Medieval Bibliography,"Includes International Medieval Bibliography, Bibliographie de civilisation m&amp;eacute;di&amp;eacute;vale and International Bibliography of Humanism and the Renaissance.",http://cpps.brepolis.net/bmb/search.cfm
International Monetary Fund (IMF) Publications,"Searchable index of IMF working papers, the World Economic Outlook, annual reports, the IMF Survey, Research Bulletin, country reports, and other publications. Most are available in PDF format for online reading or printing.",https://www.imf.org/en/publications
Internet Library of Early Journals (18th -19th Centuries),"<p>The ILEJ is a searchable full-text collection of 120,000 digital pages of runs of six important British journals from the eighteenth and nineteenth centuries. Search and browse capabilities provided.<br />
<br />
The three 18th-century journals are: Gentleman&#39;s Magazine, The Annual Register, and Philosophical Transactions of the Royal Society. The three 19th-century journals are: Notes and Queries, The Builder, and Blackwood&#39;s Edinburgh Magazine.</p>",http://www.bodley.ox.ac.uk/ilej/
InterPlay,A tool for finding plays published in collections.,http://library.pdx.edu/interplay/
IPA Source,"IPA Source is a collection of literal translations and International Phonetic Alphabet (IPA) transcriptions developed to benefit singers, teachers, and all those interested in the correct and knowledgeable performance of vocal literature.",https://www.ipasource.com/
Iter: Gateway to the Middle Ages and the Renaissance,"<p>Iter features 2 scholarly bibliographic databases, one featuring journal articles, and the other, books.<br />
<br />
The Journals database contains over 225,000 records from more than 400 scholarly journal titles pertaining to the Middle Ages and Renaissance (400-1700). The Books database is a bibliography of monographs, material published in monographs, and collected essays pertaining to the Middle Ages and Renaissance (400-1700). More than 60,000 new records are added annually.</p>",https://www.itergateway.org
Johns Hopkins Guide to Literary Theory and Criticism,"The Guide is a reference to the intellectual traditions of literary theory, from Plato and Aristotle to the present, but with a concentration on modern literary criticism and theoretical research.",http://litguide.press.jhu.edu/
Journal Citation Reports,<p>Journal Citation Reports (JCR) is a multidisciplinary database that presents statistical data useful for determining the relative importance of journals within 224 predefined subject categories.</p>,https://jcr.clarivate.com/
JSTOR,"JSTOR provides digital versions of the backfiles of major scholarly journals. Primarily an archival collection, JSTOR does not provide access to the most recent 3-5 years of content for most titles.",https://www.jstor.org/
Knovel Library,"An online reference shelf including handbooks, dictionaries and datasets covering the full range of engineering disciplines; also includes biochemical, biology and chemistry reference resources",https://app.knovel.com/web/index.v?jsp=main.
L&#039;annee philologique,"<p>This valuable resource indexes books, book reviews, articles, Festschriften, and other collections dealing with the ancient Greek and Roman world, from the second millennium BCE to approximately 800 CE.<br />
<br />
The APh indexes more than 1500 scholarly journals, plus essay collections and conference proceedings.&nbsp;Please note that the resource covers worldwide scholarly publishing, in many languages, and the Richter Library will only have some of the items referenced. Please consult the UML catalog for local holdings.</p>",http://apps.brepolis.net/LTool/Entrance.aspx?w=30
LADB (Latin America Digital Beat),"<p>LADB at the University of New Mexico offers access to a variety of resources for Latin American researchers.<br />
<br />
Resources include: an online searchable archive of over 24,000 news articles on politics, economics, human rights, the environment, drugs, guerillas, military and other stories; --- back issues of Latin American economic journals in Spanish;&nbsp; --- access to three weekly electronic news bulletins about Mexico (SourceMex), Central America and the Caribbean including Cuba (NotiCen) and South America (NotiSur). The back issues of the journals make up the database.</p>",http://digitalrepository.unm.edu/ladb
Latin Americanist Research Resources Pilot Project,The Latin Americanist Research Resources Project database indexes articles in over 400 social science and humanities journals published in south and central America. The full-text of articles is available via interlibrary loan. The service also includes a Digital Collection of Mexican and Argentine Presidential Messages.,http://lanic.utexas.edu/larrp/
Law Library Microform Consortium Digital,"<p>Law Library Microform Consortium (LLMC) is a non-profit cooperative serving the needs of legal researchers and historians.&amp;nbsp; Over a ten year period, LLMC plans to digitize over 200,000 volumes of U.S. and international law literature.<br />
<br />
The LLMC digital collection will provide current as well as retrospective coverage of active titles. The first installment covers many of the earliest decisions of U.S. Federal agencies and departments, such as Administrative Decision under the Immigration Laws, volumes 1-19.<br />
<br />
It is the hope that the entire Federal Collection will be online by the end of 2004, including executive materials (official departmental materials, public papers of the Presidents), judicial materials (official Federal Court decisions), and legislative materials (statutes at large, U.S. Treaties).</p>",https://www.llmc.com/
Gale OneFile: LegalTrac,"Gale OneFile: LegalTrac provides indexing for law reviews, legal newspapers, specialty publications, Bar Association journals, and international legal journals. The American Association of Law Libraries endorses LegalTrac, and its special advisory committee selects, reviews, and enhances the content of this resource. This database offers coverage of federal and state cases, laws and regulations, legal practice and taxation, and British Commonwealth, European Union, and international law.",https://infotrac.galegroup.com/itweb/miami_richter?db=LT
Nexis Uni,"<p>Nexis Uni&trade; features more than 15,000 news, business and legal sources from LexisNexis&reg;&mdash;including U.S. Supreme Court decisions dating back to 1790&mdash;with an intuitive interface that offers quick discovery across all content types, personalization features such as Alerts and saved searches and a collaborative workspace with shared folders and annotated documents.</p>",https://www.nexisuni.com
ProQuest Congressional,"Provides indexing and selected full-text access to current and historical legislative information from the United States Congress including hearings, bills, laws, reports and other publications.",https://congressional.proquest.com/congressional/search/advanced/advanced?accountid=14585
LGBTQ+ Source,"<p>A database of literature regarding gay, lesbian, bisexual and transgender issues. LGBT Life with Full Text contains all of the content available in LGBT Life as well as full text for 50 of the most important and historically significant LGBT journals, magazines and regional newspapers, as well as dozens of full text monographs.<br />
<br />
The database includes comprehensive indexing and abstract coverage as well as a specialized LGBT Thesaurus containing over 6,400 terms. Full text content available in LGBT Life with Full Text includes The Advocate, Gay Parent Magazine, Girlfriends, GLQ: A Journal of Lesbian &amp; Gay Studies, James White Review, ISNA News, Ladder, Lesbian Tide, New York Blade, ONE, Tangents, Washington Blade, and many more.</p>","http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=qth"
"Library, Information Science &amp; Technology Abstracts (LISTA)","<p>Library, Information Science &amp; Technology Abstracts,(LISTA) indexes more than 600 periodicals, plus books, research reports and proceedings.</p>","https://access.library.miami.edu/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=lxh"
Literature Criticism Online,"A database of ten encyclopedias of literary criticism. Centuries of analysis of scholarly and popular commentary from broadsheets, pamphlets, encyclopedias, books and periodicals.",https://infotrac.galegroup.com/itweb/miami_richter?db=LCO
Literature Resource Center,"<p>Literature Resource Center is a current, comprehensive, and reliable online resource for research on literary topics, authors, and their works. What you&#39;ll find in Literature Resource Center is: Full-text scholarly articles from more than 300 academic journals and literary magazinesthe majority peer-reviewedas well as excerpts from scholarly monographs, literary correspondence and diaries. Reviews of books of all sorts, from children&#39;s literature to adult fiction, from popular non-fiction to scholarly studies. Substantive biographical essays on more than 130,000 authors, providing insights into life and times, works, and critical reception. Full text of thousands of poems and short stories published in contemporary journals and magazines. Overview essays on thousands of books and literary topics. Links to editorially selected websites on authors and their works, as well as pictures of well-known authors. New and updated material is added daily.</p>",https://infotrac.galegroup.com/itweb/miami_richter?db=LitRC
Los Angeles Times,"<p>Comprehensive coverage back to 1985 is available for one of the leading sources of national and international news. The complete text of recent articles is provided in the ASCII format.<br />
<br />
Each issue is indexed thoroughly for access to not only top news stories, but also detailed information on the arts, sports, business, and popular culture.</p>",https://search.proquest.com/latimes?accountid=14585
Making of America Journals (Cornell),"Making of America (MOA) sources in American social history from the antebellum period through reconstruction. The collection currently contains approximately 6,600 books and 50,000 journal articles with 19th century imprints.",http://collections.library.cornell.edu/moa_new/browse.html
Making of America Journals (Michigan),"Making of America (MOA) sources in American social history from the antebellum period through reconstruction. The collection currently contains approximately 6,600 books and 50,000 journal articles with 19th century imprints.",https://quod.lib.umich.edu/m/moagrp/
"Making of Modern Law:  Legal Treatises, 1800-1926","<p>The Making of Modern Law: Legal Treatises, 1800-1926 provides digital images on every page of 22,000 legal treatises on US and British law published from 1800 through 1926. Full-text searching on more than 10 million pages provides researchers access to critical legal history.</p>",https://infotrac.galegroup.com/itweb/miami_richter?db=MOML
Making of the Modern World,"<p>Instant access to the theories, practices, and consequences of economic and business activity in the West, from the last half of the 15th century to the mid-19th century. The Making of the Modern World offers researchers new ways of understanding the emergence of modern economics and other social sciences. It&#39;s the most comprehensive collection in existence for researching the literature of economics from this period. This unrivalled online library offers instant access to the theories, practices, and consequences of economic and business activity in the West, from the last half of the 15th century to the mid-19th century. It combines the strengths of two pre-eminent collections: the Goldsmiths; Library of Economic Literature at the University of London Library and the Kress Collection of Business and Economics at the Harvard Business School, along with supplementary materials from the Seligman Collection in the Butler Library at Columbia University and from the libraries of Yale University.</p>",http://find.galegroup.com/menu/start?prod=MOME&amp;userGroupName=miami_richter
Marcive WebDocs: Catalog of U.S. Government Publications,Marcive Web Docs provides access to the Catalog of Government Printing Office Documents.The catalog provides information on all types documents issued by the federal government.,http://www.marcive.com/scripts/webdocs.dll
MarketResearch.com Academic,"<p>MarketResearch.com Academic provides access to detailed market research from leading sources such as Kalorama Information, Packaged Facts, and Specialists in Business Information. Studies contain charts, tables, and graphs and are between 200 and 400 pages in length. Full studies are available on MarketResearch.com Academic with twelve (12) months of being made available to corporate clients. MarketLooks reports are also available and provide easy-to-read summaries of full-length reports. The reports are available within the same month of publication.</p>",https://www.marketresearch.com/academic/
MAS Ultra - School Edition,"<p>MAS Ultra - School Edition provides full text from over 490 periodicals covering general reference, health, science, and other areas. In addition to the full text, this database offers indexing and abstracts for 554 magazines. This database also includes over 3,000 charts, tables and graphs converted to ASCII text; 5,000 full text Magill Book Reviews; full text of 149 Macmillan books; over 540 health and science-related pamphlets in full text; coverage of the CIA World Factbook; and Essential Documents in American History.</p>","https://access.library.miami.edu/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ulh"
MathSciNet,"Access to the Mathematical Reviews Database and Current Mathematical Publications,including literature reviews, abstracts and bibliographic information.",https://mathscinet.ams.org/mathscinet/
MRI Simmons,"<p>MRI Simmons offers comprehensive demographic, lifestyle, product usage and exposure to all forms of advertising media.</p>",https://insights.mrisimmons.com/university/miami
MEDLINE (ProQuest),"Comprehensive index to the international literature of biomedicine including clinical practice, psychosocial issues, health care administration, medical research, nursing, and more.",https://search.proquest.com/medline/advanced?accountid=14585
MEDLINE (EBSCO),"<p>Comprehensive index to the international literature of biomedicine including clinical practice, psychosocial issues, health care administration, medical research, nursing, and more.</p>","http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=cmedm"
MEDLINE (Web of Knowledge),"<p>Comprehensive index to the international literature of biomedicine including clinical practice, psychosocial issues, health care administration, medical research, nursing, and more. In addition to medical research and practice, subject coverage includes allied health, the biological and physical sciences, psychology, sociology, the humanities and information science as they relate to medicine and health care, communication disorders, population and reproductive biology. It includes more than 9.5 million records. More than 4,300 journals worldwide are indexed. About 52% of current cited articles are published in the U.S.; nearly 86% are published in English; about 76% have English abstracts written by authors of the articles. Abstracts are included for about 67% of the records.</p>",http://webofknowledge.com/MEDLINE
MEDLINE (OVID),"<p>Comprehensive index to the international literature of biomedicine including clinical practice, psychosocial issues, health care administration, medical research, nursing, and more.</p>",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&amp;amp;CSC=y&amp;amp;PAGE=main&amp;amp;NEWS=n&amp;amp;DBC=y&amp;amp;D=mesd
MedlinePlus,Extensive information from the National Institutes of Health and other trusted sources on over 750 diseases and conditions.,https://medlineplus.gov/
Mergent Online,<p>Provides Mergent business and industry reports.</p>,https://www.mergentonline.com/
Miami Herald (1911-Current),"Full-text content of local and regional news, including community events, schools, politics, government policies, cultural activities, local companies, state industries, and people in the community.",https://infoweb.newsbank.com/apps/news/browse-multi?p=WORLDNEWS&amp;t=favorite%3AMIAMI%21Miami%20Herald%20Collection%20including%20Historical%20Archives
Middle English Compendium,"The Middle English Compendium contains prose, verse, and reference works. The service provides three an electronic version of the Middle English Dictionary, a HyperBibliography of Middle English prose and verse, based on the MED bibliographies, and a Corpus of Middle English Prose and Verse, as well as links to an associated network of electronic resources.",https://quod.lib.umich.edu/m/middle-english-dictionary
Military & Government Collection,"<p>Provides full-text journals and periodicals pertaining to all branches of the military and government. Designed to offer current news to military members, analysts, policy makers, students and researchers.</p>","https://access.library.miami.edu/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=mth"
MLA International Bibliography,"<p>The MLA Bibliography indexes some one million citations from over 4,000 journals and series published worldwide on modern languages, literatures, folklore, and linguistics.</p>","http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=mzh"
Music Index,"<p>The Music Index provides citations for 882 international scholarly, popular, and trade journals and magazines. It indexes articles, book reviews, recording reviews, and live performance reviews.</p>","https://access.library.miami.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=mah"
Musical America Worldwide,"<p>Musical America is an international directory for the performing arts, used by concert facilities, classical performers, artists, managers and music festivals.<br />
<br />
Entries include narrative reviews of the past year in music and dance, along with over 700 pages of listings and tables. Also offers a prestigious annual awards program for Musician of the Year, as well as awards for the year&#39;s top composer, conductor, instrumentalist and vocalist.</p>",https://www.musicalamerica.com/
NASA Technical Reports Server (NTRS),"Earthquake engineering e-library access to searchable databases, archives, images and reports resources.",https://ntrs.nasa.gov/search
National Academy Press Digital Library,The National Academy Press is a searchable multidisciplinary digital library of full-text book length research studies and policy reports by leading experts in their fields. Hundreds of titles are available in PDF or HTML format. Readers are able to search the full-text of one or all publications; search all titles; browse by subject category.,http://www.nap.edu/index.html
National Assessment of Educational Progress (NAEP) Data Explorer,"<p>Results of decades of assessment of students&#39; academic performance, as well as information about factors that may be related to their learning. Main NAEP provides national and state results in 8 subject areas, including mathematics, reading, writing, and science. Results have been produced for the nation and participating states and other jurisdictions since 1990, and for selected urban districts (on a trial basis) since 2002.<br />
<br />
High School Transcript Study provides national NAEP grade 12 assessment results from the 2005 mathematics and science assessments for students who graduated high school in 2005. Results are available for transcript data such as course-taking and grade point average.</p>",https://www.nationsreportcard.gov/ndecore/xplore/nde
National Center for Education Statistics (NCES),"The NCES, U.S. Department of Education, is the primary federal government source of statistics and data studies describing the condition of American education, and education activities internationally.",https://nces.ed.gov
National Center for Health Statistics,"<p>The National Center for Health Statistics (NCHS) is a part of the Centers for Disease Control and Prevention, U.S. Department of Health and Human Services. NCHS is the Federal Government&#39;s principal vital and health statistics agency. The service provides information based on collection systems such as vital statistics, health care, hospital, and health insurance data.</p>",https://www.cdc.gov/nchs/
National Criminal Justice Reference Service (NCJRS),"<p>The NCJRS, a federally sponsored information clearinghouse, provides access to the world&#39;s largest law enforcement and criminal justice database.</p>",https://www.ncjrs.gov/
National Information Service for Earthquake Engineering (NISEE),This web portal provides access to NISEE online textual and image resources.,https://nisee.berkeley.edu/elibrary/
National Renewable Energy Laboratory Database,Provides high-quality renewable energy resource data for U.S. and international locations.,http://www.nrel.gov/
National Science Foundation Awards Database,"<p>Searchable multidisciplinary database of NSF awards made from 1989 to present. Contains descriptions of both completed and in-process research.<br />
<br />
Information includes an abstract that describes the research, the names of principal investigators, their institutions, the amount of award, the start and expiration date, and the type of award.</p>",http://www.nsf.gov/awardsearch/
Naxos Music Library,"<p>The Naxos Music Library has nearly three million tracks of classical music from hundreds of record labels, including Bridge Records, Cedille, Chandos, Deutsche Grammophon, Naxos, Sony Classical, Vox, and Warner Classical.</p>",http://UML.NaxosMusicLibrary.com
Naxos Music Library Jazz,"<p>The <em>Naxos Music Library Jazz </em>offers a mix of hundreds of jazz and blues labels from around the world, including ACT, Blue Engine Records, Cool &amp; Blue, Manhaton Records, Strut, TCB (the Montreux Jazz Label), and Warner Jazz. <em>NML Jazz</em> currently hosts nearly 300,000 individual tracks (approximately 32,000 albums).</p>",http://UML.NaxosMusicLibrary.com/Jazz
NCSTRL (Networked Computer Science Technical Reference Library),International collection of computer science technical reports from CS departments and industrial and government research laboratories.,http://www.ncstrl.org/
Networked Digital Library of Theses and Dissertations,"Contains full-text theses and dissertations from colleges and universities around the world. The Networked Digital Library of Theses and Dissertations (NDLTD) is an international organization dedicated to promoting the adoption, creation, use, dissemination and preservation of electronic analogues to the traditional paper-based theses and dissertations.",http://www.ndltd.org/
Neurosciences Abstracts,"Covers all aspects of vertebrate and invertebrate neuroscience, emphasizing basic research studies.",https://search.proquest.com/neurosciabstracts/advanced?accountid=14585
New York Times via ProQuest (1851-2014),"Cover-to-cover, digitally scanned full page access to backfiles of the New York Times Newspaper 1851 - 2014.",https://search.proquest.com/hnpnewyorktimes/advanced?accountid=14585
NewsBank Full Text Newspapers,"Provides full-text information and perspectives from over 1400 U.S. and over 1200 international sources. Each source has its own distinctive focus offering diverse viewpoints on local, regional and world issues.",https://infoweb.newsbank.com?db=AWNB&amp;s_sources=all
Nucleic Acids Abstracts,"Covers cloning and sequencing strategies as well as gene regulatory sequences and proteins, RNA processing and transport, RNA editing, DNA biosynthesis, transcription factors and oncoproteins.",https://search.proquest.com/nucleicascidsabstracts/advanced?accountid=14585
Occupational Outlook Handbook,"<p>The Occupational Outlook Handbook, produced by the Bureau of Labor Statistics, is a nationally recognized source of career information.<br />
<br />
Revised every two years, the Handbook describes what workers do on the job, working conditions, the training and education needed, earnings, and expected job prospects in a wide range of occupations. Special sections include The Career Guide to Industries and Job Opportunities in the Armed Forces. The site also includes links to other occupation related web sites and information provided by the U.S. government.</p>",https://www.bls.gov/ooh/
Oceanic Abstracts,"Oceanic Abstracts indexes journal articles and other international technical publications pertaining to the marine and brackish-water environment. Index coverage focuses on marine biology and physical oceanography, fisheries, aquaculture, non-living resources, meteorology and geology, plus environmental, technological, and legislative topics.",https://search.proquest.com/oceanic?accountid=14585
Scitation,"Formerly called OJPS (Online Journal Publishing Service), the Scitation database provides the full-text of selected research journals in physics, engineering and mathematics. You may search the full-text the current issues, or all issues of an individual journal.",https://www.scitation.org
Oncogenes and Growth Factors Abstracts,Abstracting journal of both experimental and clinical literature focusing on mechanisms of oncogenes and cancerous cell growth factors. This index is a subfile of the Biological &amp;amp; Medical Sciences Database,https://search.proquest.com/oncogenes/advanced?accountid=14585s/advanced?accountid=14585
Oxford Art Online,Scholarly art encyclopedia covering Western and non-Western visual art. The vast content of Grove Art Online and other Oxford art reference resources are made available in one location.,https://www.oxfordartonline.com
"Oxford Classical Dictionary, Fourth Edition","<p>Unrivalled in scope for over sixty years, this established reference work has been thoroughly updated for this edition to reflect modern scholarship. Written by distinguished scholars from around the world, it covers all aspects of the classical world from literature and history to religion, science, and archaeology.<br />
<br />
As well as providing factual information, the Dictionary contains many thematic entries on subjects relevant to the 21st century such as nationalism, race, gender, and ecology. Anthropology and reception have been added as new subject areas, covering topics such as creolization and kinship, as well as dance reception and translation.<br />
<br />
The most authoritative and accessible dictionary of its kind, this is an essential reference for both scholars and non-specialists with an interest in the classical era.</p>",https://oxfordre.com/classics/
Oxford Duden German Dictionary,"This is the premier, authoritative German-English, English German dictionary. This dictionary is provided as a selection in the Past Masters service.",https://library.nlx.com/xtf/view?docId=odd/odd.00.xml;chunk.id=div.duden.pmpreface.1;toc.depth=2;toc.id=div.duden.pmpreface.1;hit.rank=0;brand=default
Oxford English Dictionary,"<p>The Oxford English Dictionary, the accepted authority on the evolution of the English language, is a guide to the meaning, history, and pronunciation of over half a million words, both present and past.</p>",https://www.oed.com
Oxford Music Online,"<p>Includes the <em>Oxford Dictionary of Music, Grove Music Online,</em> and the <em>Oxford Companion to Music.</em> These are key music reference sources used by performers and scholars around the world. This resource is used for answering basic questions (e.g., the definitions of music terminology), to research repertoire (<em>Grove Music Online</em> contains complete works lists for composers), or at the beginning of the research process.</p>",http://www.oxfordmusiconline.com
Oxford Reference Online,"<p>Oxford Reference Online contains about 100 general and subject dictionaries, and language reference works published by Oxford University Press. The collection is fully indexed and cross-searchable.<br />
<br />
The collection includes quotations, proverbs, place-names and other general reference works. Among the English language reference works are thesauri and a wide variety of dictionaries (e.g. grammar, abbreviations, idioms, eponyms, euphemisms). Foreign language dictionaries include German, Italian,and Spanish. Specialized subject dictionaries are available in a wide range of disciplines.</p>",http://www.oxfordreference.com
PapersFirst,"PapersFirst is a multidisciplinary index to papers presented at worldwide meetings, conferences, expositions, workshops, congresses, and symposia.",http://newfirstsearch.oclc.org/dbname=PapersFirst;done=referer;FSIP
Past Masters,"Past Masters provides search, browse and read access to scholarly editions of the works of great Western philosophers, including Plato, Hegel, Peirce and others. The service offers both an original language edition and an English translation of every work in the collection. A searchable edition of the Oxford Duden German Dictionary is provided at the site.",http://library.nlx.com
Pennsylvania Gazette,"<p>Published in Philadelphia from 1728 through 1800, The Pennsylvania Gazette is considered The New York Times of the 18th century. It provides the reader with a first hand view of colonial America, the American Revolution and the New Republic, and offers important social, political and cultural perspectives of each of the periods.<br />
<br />
Thousands of articles, editorials, letters, news items and advertisements cover the Western Hemisphere, from the Canadian Maritime Provinces, through the West Indies and North and South America, giving a detailed glimpse of issues and lifestyles of the times.<br />
<br />
Also included is the full-text of such important writings such as: the Declaration of Independence, the Constitution, Letters from a Farmer, Thomas Paynes Common Sense, The Federalist Papers, etc. These include: Folio I - (1728 - 1750) Benjamin Franklins Newspaper, Folio II - (1751 - 1765) The French &amp; Indian War, Folio III - (1766 - 1783) The American Revolution, Folio IV - (1784 - 1800) The New Republic.</p>",http://www.accessible.com/accessible/brand?MpThe+Pennsylvania+Gazette=on
"Perry-Castaneda Library Map Collection, University of Texas","The Perry-Castaeda Library Map Collection, University of Texas Web site provides a well-organized collection of historical and current maps worldwide. All maps available on this server are in the public domain, and may be freely downloaded and copied.",https://legacy.lib.utexas.edu/maps/
Philosopher's Index,<p>The Philosopher&#39;s Index indexes and abstracts books and journals covering philosophy and related fields.</p>,"http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=phl"
Pidgeon Digital,"Online version of The Pidgeon Audiovisual collection of illustrated talks by architects and related designers. This continuing archive, to which new talks are being added regularly, is a unique library of contemporary attitudes.",https://www.pidgeondigital.com
PILOTS,"The PILOTS bibliographic database covers the Published International Literature On Traumatic Stress. Sponsored by the U.S. Department of Veterans Affairs, its goal is to include citations to all literature on post-traumatic stress disorder (PTSD) and other mental-health sequelae of traumatic events, without disciplinary, linguistic, or geographical limitations, and to offer both current and retrospective coverage.",https://search.proquest.com/pilots/advanced?accountid=14585
Political Risk Yearbook,"Political Risk Yearbook forecasts the risk of doing business in 100 countries. Each includes comments and analysis on recent events, profiles of key political players, and wide-ranging forecast scenarios, as well as basic historical and political background and data on the government, political entities, the environment, and the economy, including key sectors.",https://epub.prsgroup.com/index.php/customer/pry
Pollution Abstracts,"<p>Pollution Abstracts indexes scientific research and policy literature covering all areas of pollution and its effects on people and animals.<br />
<br />
This database is a subfile of the Environmental Science and Pollution Management Database.</p>",https://search.proquest.com/pollution/advanced?accountid=14585
Primary Search,"<p>Full text for more than 70 popular, magazines for elementary school research. All full text articles included in the database are assigned a reading level indicator (Lexiles), and full text information dates as far back as 1990.</p>","https://access.library.miami.edu/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=prh"
Proceedings First,"<p>Proceedings First is a multidisciplinary index of published meetings, conferences, expositions, workshops, congresses, and symposia worldwide.<br />
<br />
Individual papers are indexed in the companion database: PapersFirst.</p>",http://newfirstsearch.oclc.org/dbname=Proceedings;done=referer;FSIP
Professional Development Collection,<p>Professional Development Collection selectivity indexes full-text articles from nearly 250 journals covering education and related areas such as library science.</p>,"https://access.library.miami.edu/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=tfh"
Project MUSE - Premium Collection,"<p>Project Muse provides access to the full-text of over 40 of the Johns Hopkins University Press's scholarly journals. Dates of coverage vary.</p>

<p>In general, Literary Theory & American Studies journals begin with the 1995 volume, while most others start with 1996. New issues of these journals are placed online in advance of the print version.</p>

<p>Readers may search the full-text of individual journals to find a specific author, subject or title, and/or search the full-text of all journals in the collection. Among Muse features are hypertext links in the tables of contents, endnotes, author biographies, illustrations and, the option to create online reference shelves or electronic syllabi.</p>",http://muse.jhu.edu/
ProQuest Biology Journals,"ProQuest Biology Journals provides access to a wide range of biology topics. The database includes just under 400 titles, with more than 325 available in full text.",https://search.proquest.com/biologyjournals/advanced?accountid=14585
ProQuest Civil War Era,"Complete runs of regional newspapers, as well as pamphlets covering a wide range of topics. Set of primary sources, with documents original articles and page images from Manifest Destiny through the end of the Civil War.",https://search.proquest.com/civilwar/advanced?accountid=14585
Latin American Newsstream (ProQuest),"A selection of full-text Latin-American newspapers and newswires covering international and Latin-American regional topics. Includes over 35 Latin American newspaper in Spanish and Portuguese, with some additional content in English. Leading newspapers include: Mural (Mexico), El Norte and Reforma (Mexico), O Globo and Folha de Sao Paulo (Brazil), La Nacin (Argentina), El Pais (Uruguay), El Nuevo Dia (Puerto Rico).",https://search.proquest.com/latinamericanews/advanced?accountid=14585
ProQuest Research Library,"ProQuest Research Library provides in-depth coverage of the top 150 core academic subject, including 5,060 titles -over 3,600 in full text- from 1971 forward. It features a highly-respected, diversified mix of scholarly journals, trade publications, magazines, and newspapers.",https://search.proquest.com/pqrl/advanced?accountid=14585
PsycARTICLES,"<p>A source for full-text, peer-reviewed scholarly and scientific articles in psychology.</p>","https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ebscohost&defaultdb=pdh"
PsycCRITIQUES 1956-2017 (via Portico),Full-text book reviews featuring current scholarly and professional books in psychology. Includes reviews from a psychological perspective of popular films and trade books from&amp;nbsp;1956 through 2017.,http://access.portico.org/stable?cs=ISSN_00107549
PsycINFO,"<p>Abstracts of scholarly journal articles, book chapters, books, and dissertations, in behavioral science and mental health. Citations and summaries date back to early 1800s; journal coverage from 1887 to present. From the American Psychological Association.</p>","http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ebscohost&defaultdb=psyh"
PubChem,"<p>PubChem is a component of NIH&#39;s Molecular Libraries Roadmap Initiative and provides information on the biological activities of small molecules. The resource includes substance information,&nbsp;compound structures, and BioActivity data that are organized into three linked databases: PCSubstance, PCCompound, and PCBioAssay.<br />
<br />
PCSubstance contains more than 180 million records. PCCompound contains more than 63 million unique structures. PCBioAssay contains more than 1 million BioAssays. Each BioAssay contains a various number of data points. The Substance/Compound database, where possible, provides links to BioAssay description, literature, references, and assay data points. The BioAssay database also includes links back to the Substance/Compound database. Integrated with Entrez, NCBI&#39;s primary search engine. PubChem also provides a fast chemical similarity search tool and allows searching by other features such as compound neighboring, sub/superstructure, similarity structure, bioactivity data, and more.</p>",http://pubchem.ncbi.nlm.nih.gov/
"PubMed - US National Library of Medicine, NIH",Provides access to citations for biomedical articles from Medline and life science journals. Citations may include links to full-text articles.,https://www.ncbi.nlm.nih.gov/pubmed?otool=flumrlib
